monto_prestamo,plazo,tasa_interes,trabajo_prestatario,antiguedad_prestatario,estatus_vivienda,ingreso_anual,estatus_verif_ingreso,fecha_prestamo,estatus_prestamo,tipo_prestamo,estado_vive,proporcion_pagos,pagos_recib,cargos_atrasados,pagos_mes_anterior,meses_mala_calif,tipo_solicitud,ingreso_conjunto,cuentas_mora,saldo_total,saldo_plazos,hipotecas,metodo_recibe_pago
35000,60 months,20.89,Sales Consultant,2 years,OWN,66000,Source Verified,01-11-2018,Current,Credit card refinancing,WV,26.58,2793.51,0,01-02-2019,,Individual,,0,44210,5191,0,Cash
10000,36 months,8.19,food service director,4 years,MORTGAGE,55000,Not Verified,01-11-2018,Current,Debt consolidation,FL,30.84,938.2,0,01-02-2019,,Individual,,0,43859,16292,3,Cash
12000,36 months,13.56,LEASING,2 years,RENT,45000,Not Verified,01-11-2018,Current,Credit card refinancing,CO,37.52,1245.34,0,01-02-2019,,Individual,,0,56189,50953,0,Cash
20000,36 months,6.11,,n/a,MORTGAGE,110000,Not Verified,01-11-2018,Current,Major purchase,MO,15,1821.53,0,01-02-2019,,Individual,,0,298640,30088,8,Cash
12000,36 months,10.72,Worker/Owner,10+ years,MORTGAGE,60000,Source Verified,01-11-2018,Current,Debt consolidation,CA,17.08,1191.71,0,01-02-2019,,Individual,,0,151190,4430,2,Cash
12000,36 months,8.19,Line Leader,8 years,RENT,55000,Source Verified,01-11-2018,Current,Debt consolidation,MI,9.99,1093.05,0,01-02-2019,,Joint App,55000,0,19054,5603,0,DirectPay
11000,60 months,14.47,Provider,5 years,RENT,30000,Source Verified,01-11-2018,Current,Debt consolidation,CA,39.84,753.81,0,01-02-2019,,Individual,,0,21328,10139,0,Cash
14400,60 months,16.91,Shift Supervisor,3 years,MORTGAGE,98300,Source Verified,01-11-2018,Current,Debt consolidation,NY,24.32,1037.75,0,01-02-2019,34,Individual,,0,389097,47754,3,Cash
14825,36 months,23.4,Grocery manager,8 years,MORTGAGE,83000,Not Verified,01-11-2018,Current,Debt consolidation,CT,26.6,1682.73,0,01-02-2019,,Joint App,117000,0,210212,43593,4,Cash
3600,36 months,12.98,Staff Sergeant,4 years,RENT,31320,Not Verified,01-11-2018,Current,Debt consolidation,GA,21.11,347.18,0,01-02-2019,21,Individual,,0,17572,16419,0,Cash
15000,36 months,6.11,,n/a,MORTGAGE,64944,Verified,01-11-2018,Current,Car financing,NV,19.49,1358.51,0,01-02-2019,69,Individual,,0,341470,62328,4,Cash
14400,36 months,15.02,Crane Maintenance,2 years,OWN,102000,Source Verified,01-11-2018,Current,Major purchase,NY,25.39,1467.95,0,01-02-2019,,Individual,,0,60314,28625,0,Cash
8400,36 months,15.02,Complaint Analyst,1 year,RENT,42000,Source Verified,01-11-2018,Current,Debt consolidation,PA,21.43,884.36,0,01-02-2019,42,Individual,,0,15146,8530,0,Cash
15000,60 months,12.98,Internal sales coordinator,< 1 year,MORTGAGE,50000,Source Verified,01-11-2018,Current,Debt consolidation,PA,29.74,996.41,0,01-02-2019,,Individual,,0,34142,17022,0,Cash
10000,60 months,22.35,,n/a,RENT,31791.84,Not Verified,01-11-2018,Current,Debt consolidation,CO,21.82,803.53,0,01-02-2019,,Individual,,0,19859,9061,0,Cash
40000,36 months,6.11,Portfolio Manager,10+ years,MORTGAGE,300000,Source Verified,01-11-2018,Current,Debt consolidation,OH,16.17,3622.7,0,01-02-2019,,Individual,,0,619826,56395,5,DirectPay
12000,60 months,11.8,,n/a,MORTGAGE,63000,Not Verified,01-11-2018,Current,Debt consolidation,CT,20.55,836.52,0,01-02-2019,,Individual,,0,208267,17613,3,DirectPay
3600,36 months,16.91,fire fighter,10+ years,MORTGAGE,97000,Verified,01-11-2018,Current,Other,NJ,30.56,376.11,0,01-02-2019,,Individual,,0,506945,91386,2,Cash
20000,36 months,14.47,ui developer,2 years,RENT,60000,Source Verified,01-11-2018,Current,Credit card refinancing,NJ,1.6,2024.2,0,01-02-2019,,Joint App,125000,0,2586,0,0,Cash
10000,36 months,10.08,Care Provider,3 years,RENT,40000,Source Verified,01-11-2018,Current,Debt consolidation,NV,5.97,955.15,0,01-02-2019,,Joint App,60000,0,8207,0,0,Cash
30000,60 months,6.67,,< 1 year,MORTGAGE,100000,Verified,01-11-2018,Current,Credit card refinancing,MI,25.92,1740.35,0,01-02-2019,,Individual,,0,440924,23894,1,DirectPay
25000,60 months,7.84,Senior Web Developer,6 years,RENT,99000,Source Verified,01-11-2018,Current,Debt consolidation,CA,20.74,1487.78,0,01-02-2019,70,Individual,,0,78446,61694,0,DirectPay
10000,36 months,15.02,gse supervisor,2 years,RENT,80000,Not Verified,01-11-2018,Current,Debt consolidation,NJ,6.89,1046.66,0,01-02-2019,,Individual,,0,8950,5327,0,Cash
15000,36 months,11.55,Chef,4 years,MORTGAGE,52000,Source Verified,01-11-2018,Current,Debt consolidation,MD,23.36,1475.38,0,01-02-2019,49,Individual,,0,256480,39897,2,Cash
15825,36 months,20.89,,n/a,OWN,36010.8,Not Verified,01-11-2018,Current,Credit card refinancing,CA,18.97,1767.59,0,01-02-2019,,Individual,,0,18873,1672,0,Cash
20000,60 months,10.08,CONSTRUCTION ESTIMATOR,1 year,RENT,95000,Not Verified,01-11-2018,Current,Other,CA,9.88,1249.19,0,01-02-2019,,Individual,,0,39035,37839,1,Cash
6000,36 months,6.11,Safety and Compliance Director,3 years,MORTGAGE,65000,Not Verified,01-11-2018,Current,Credit card refinancing,GA,9.73,563.64,0,01-02-2019,,Individual,,0,221885,17407,3,Cash
3000,36 months,23.4,Vp,10+ years,MORTGAGE,49350,Source Verified,01-11-2018,Current,Debt consolidation,ME,37.45,590.59,0,01-02-2019,,Individual,,0,180226,57794,1,DirectPay
10000,36 months,7.84,Corporate Account Manager,5 years,MORTGAGE,90000,Verified,01-11-2018,Current,Debt consolidation,UT,13.96,942.25,0,01-02-2019,,Individual,,0,684511,23116,6,DirectPay
20000,36 months,7.21,,< 1 year,MORTGAGE,250000,Not Verified,01-11-2018,Current,Credit card refinancing,TX,4.29,1881.65,0,01-02-2019,,Individual,,0,25575,0,0,DirectPay
5000,36 months,14.47,Outside Sales,4 years,RENT,65000,Source Verified,01-11-2018,Current,Debt consolidation,FL,8.03,727.54,0,01-02-2019,,Individual,,0,11399,6742,0,Cash
5000,36 months,6.67,Fabrication,8 years,RENT,43200,Source Verified,01-11-2018,Current,Credit card refinancing,IN,28.58,460.93,0,01-02-2019,,Individual,,0,28822,16607,0,DirectPay
40000,60 months,11.06,,< 1 year,RENT,160000,Not Verified,01-11-2018,Current,Debt consolidation,FL,7.34,2711.01,0,01-02-2019,73,Individual,,0,28872,161,0,DirectPay
20000,36 months,16.91,Owner,4 years,MORTGAGE,165000,Source Verified,01-11-2018,Current,Debt consolidation,VA,8.06,2117.69,0,01-02-2019,18,Individual,,0,21926,16398,0,Cash
24000,60 months,13.56,HCM Payroll Service Consultant,1 year,MORTGAGE,47000,Not Verified,01-11-2018,Current,Debt consolidation,FL,30.39,1767.42,0,01-02-2019,,Joint App,121064,0,247611,38362,2,Cash
22425,36 months,8.46,Outside sales,10+ years,RENT,80000,Not Verified,01-11-2018,Current,Credit card refinancing,IL,19.17,2111.93,0,01-02-2019,,Individual,,0,27934,18181,0,Cash
16000,60 months,19.92,Crew Member,2 years,RENT,14968,Verified,01-11-2018,Current,Debt consolidation,TX,106.09,1260.75,0,01-02-2019,,Joint App,50542,0,55757,32103,2,Cash
10000,36 months,6.67,Account Payable specialist,< 1 year,MORTGAGE,44000,Verified,01-11-2018,Current,Debt consolidation,MA,42.33,918.1,0,01-02-2019,,Joint App,86000,0,179964,45237,3,DirectPay
25000,36 months,6.67,Scheduling Coordinator,3 years,RENT,60000,Source Verified,01-11-2018,Current,Debt consolidation,FL,22.18,2295.25,0,01-02-2019,,Individual,,0,28651,13660,2,Cash
40000,60 months,7.84,Director  of Operations,10+ years,MORTGAGE,280000,Source Verified,01-11-2018,Current,Home improvement,NY,11.72,2406.58,0,01-02-2019,,Individual,,0,815361,98308,6,Cash
10000,60 months,10.08,Assembly Manager,10+ years,OWN,98000,Not Verified,01-11-2018,Current,Debt consolidation,SC,9.27,669.41,0,01-02-2019,,Individual,,0,175079,31382,1,Cash
17000,36 months,7.21,driver,4 years,RENT,60000,Source Verified,01-11-2018,Current,Debt consolidation,MD,6.13,3003.84,0,01-02-2019,,Individual,,0,20668,0,0,Cash
27000,36 months,16.91,Manager,8 years,MORTGAGE,500000,Verified,01-11-2018,Current,Debt consolidation,NY,10.85,2858.9,0,01-02-2019,,Individual,,0,1295136,38943,5,Cash
25000,60 months,14.47,Electrician,10+ years,RENT,85000,Source Verified,01-11-2018,Current,Debt consolidation,CA,9.91,1767.72,0,01-02-2019,,Individual,,0,16249,3610,1,Cash
35000,60 months,6.11,,< 1 year,MORTGAGE,28000,Verified,01-11-2018,Current,Debt consolidation,MN,33.38,1999.68,0,01-02-2019,,Joint App,93000,0,210111,10971,4,DirectPay
40000,60 months,11.55,Senior Estimator,< 1 year,MORTGAGE,125000,Source Verified,01-11-2018,Current,Debt consolidation,TX,4.37,2616.46,0,01-02-2019,,Individual,,0,231363,0,3,Cash
40000,60 months,10.08,Engineering Manager,10+ years,MORTGAGE,128000,Source Verified,01-11-2018,Fully Paid,Credit card refinancing,GA,29.58,40645.7031224,0,01-12-2018,,Individual,,0,107456,63250,2,DirectPay
10000,36 months,22.35,City carrier,5 years,RENT,45300,Verified,01-11-2018,Current,Credit card refinancing,MN,14.46,1126.33,0,01-02-2019,31,Individual,,0,13324,11274,0,Cash
5450,36 months,18.94,,n/a,OWN,18168,Verified,01-11-2018,Current,Debt consolidation,FL,37.58,596,0,01-02-2019,,Individual,,0,18337,0,0,Cash
4800,36 months,14.47,Manager,8 years,OWN,36000,Source Verified,01-11-2018,Current,Credit card refinancing,CA,30.57,487.76,0,01-02-2019,,Individual,,0,48795,40134,0,Cash
15500,36 months,10.08,Materials Technician,< 1 year,RENT,40000,Source Verified,01-11-2018,Current,Debt consolidation,CA,9.72,1484.83,0,01-02-2019,,Individual,,0,9044,5667,0,Cash
12000,36 months,10.08,,< 1 year,OWN,74000,Not Verified,01-11-2018,Current,Credit card refinancing,SC,5.94,1829.2,0,01-02-2019,,Individual,,0,11708,0,0,DirectPay
1000,36 months,23.4,Mental Health Therapist,3 years,RENT,33500,Not Verified,01-11-2018,Current,Other,FL,14.65,114.16,0,01-02-2019,,Individual,,0,109098,108135,0,Cash
10000,36 months,20.89,Registered Nurse,8 years,MORTGAGE,150000,Source Verified,01-11-2018,Late (31-120 days),Medical expenses,CO,9.75,0,0,,,Individual,,0,546242,74943,4,Cash
9225,36 months,16.14,vice president,5 years,MORTGAGE,150000,Source Verified,01-11-2018,Late (16-30 days),Debt consolidation,TX,22.75,633.4,0,01-01-2019,,Individual,,0,374518,54566,4,Cash
2000,36 months,6.67,Electrician,4 years,MORTGAGE,52000,Not Verified,01-11-2018,Current,Medical expenses,UT,26.79,185.13,0,01-02-2019,,Individual,,0,214853,25979,2,Cash
12000,60 months,14.47,DoD,10+ years,MORTGAGE,122000,Source Verified,01-11-2018,Current,Debt consolidation,MD,36.46,827.19,0,01-02-2019,,Individual,,0,620303,82948,6,Cash
13000,60 months,13.56,Weld Maintenance Technician,2 years,MORTGAGE,45000,Not Verified,01-11-2018,Current,Debt consolidation,GA,14.53,946.75,0,01-02-2019,,Individual,,0,16632,14729,1,Cash
32000,36 months,15.02,Ocean services,3 years,MORTGAGE,60000,Not Verified,01-11-2018,Current,Debt consolidation,KY,42.16,3342.19,0,01-02-2019,,Joint App,190000,0,118049,97329,0,Cash
10000,36 months,8.46,,n/a,OWN,38000,Not Verified,01-10-2018,Current,Debt consolidation,TX,20.37,941.8,0,01-02-2019,19,Individual,,0,13841,9829,0,Cash
5000,36 months,11.55,leadman,10+ years,RENT,60000,Not Verified,01-10-2018,Current,Other,OH,11.17,856.79,0,01-02-2019,44,Individual,,0,24833,20252,0,Cash
12000,36 months,8.46,Truck Driver,4 years,MORTGAGE,60000,Verified,01-10-2018,Current,Debt consolidation,CA,8.94,1508.72,0,01-02-2019,66,Individual,,0,228783,3972,3,Cash
20000,60 months,15.02,,n/a,RENT,37500,Not Verified,01-10-2018,Current,Debt consolidation,CA,7.23,1887.35,0,01-02-2019,,Individual,,0,3814,0,0,Cash
10000,36 months,16.14,,< 1 year,OWN,60000,Source Verified,01-10-2018,Current,Debt consolidation,VT,19.02,1115.09,0,01-02-2019,,Individual,,0,123270,103677,1,Cash
18000,36 months,7.21,Customization/Assistant Team Leader,10+ years,MORTGAGE,60000,Not Verified,01-10-2018,Current,Debt consolidation,WI,20.32,2222.87,0,01-02-2019,,Joint App,111000,0,109137,21122,4,Cash
2500,36 months,18.94,DISPATCHER,10+ years,RENT,66060,Source Verified,01-10-2018,Current,Debt consolidation,CA,13.48,363.65,0,01-02-2019,,Individual,,0,28265,16012,0,Cash
8000,36 months,7.84,Maintenance,2 years,MORTGAGE,40000,Not Verified,01-10-2018,Current,Debt consolidation,PA,15.48,996.96,0,01-02-2019,,Individual,,0,10943,7402,0,Cash
10000,60 months,15.02,receiving clerk,7 years,MORTGAGE,50000,Not Verified,01-10-2018,Current,Debt consolidation,KY,15.63,705.69,0,01-02-2019,,Joint App,87000,0,152925,25280,2,Cash
20000,36 months,10.47,,< 1 year,OWN,120000,Source Verified,01-10-2018,Current,Debt consolidation,WI,1.16,2587.45,0,01-02-2019,,Individual,,0,2905,0,0,Cash
15000,60 months,16.14,estimator,5 years,MORTGAGE,55000,Source Verified,01-10-2018,Current,Credit card refinancing,WI,31.51,1450.11,0,01-02-2019,,Individual,,0,87280,26414,1,Cash
25000,60 months,11.55,asst manager,10+ years,MORTGAGE,105000,Source Verified,01-10-2018,Current,Debt consolidation,FL,14.25,2065.45,0,01-02-2019,,Individual,,0,461275,39399,3,Cash
10000,36 months,6.11,Sales,10+ years,MORTGAGE,65000,Source Verified,01-11-2018,Current,Credit card refinancing,GA,8.97,907.37,0,01-02-2019,,Individual,,0,296195,7995,3,Cash
16000,36 months,6.11,Office Administrator/Bookkeeper,3 years,MORTGAGE,66700,Source Verified,01-10-2018,Current,Debt consolidation,FL,13.43,1944.77,0,01-02-2019,44,Individual,,0,222557,0,1,DirectPay
9500,36 months,10.47,Compliance advisor,3 years,MORTGAGE,102000,Not Verified,01-10-2018,Current,Home improvement,WI,5.07,1229.03,0,01-02-2019,,Individual,,0,371983,0,2,Cash
10000,36 months,11.06,Manager,10+ years,MORTGAGE,45000,Source Verified,01-10-2018,Current,Credit card refinancing,CA,19.57,1273.86,0,01-02-2019,,Individual,,0,162825,2091,3,Cash
12000,36 months,18.94,Estimating Administrator,< 1 year,RENT,57840,Not Verified,01-10-2018,Current,Debt consolidation,CA,26.22,1745.41,0,01-02-2019,,Individual,,0,35725,23904,0,Cash
20700,60 months,20.89,OPERATIONS/ADMINSTRATION,< 1 year,RENT,45000,Verified,01-10-2018,Current,Debt consolidation,RI,28.03,2210.9,0,01-02-2019,,Individual,,0,36966,27956,0,Cash
15000,36 months,6.67,programmer,10+ years,RENT,43200,Not Verified,01-10-2018,Current,Debt consolidation,IL,16.08,1838.04,0,01-02-2019,,Individual,,0,34096,24253,0,DirectPay
7500,36 months,7.84,Data Manager IO,7 years,RENT,65000,Not Verified,01-10-2018,Fully Paid,Credit card refinancing,CA,8.7,7670.314195466,0,01-02-2019,,Individual,,0,15795,7688,0,DirectPay
11200,36 months,13.56,Loan Specialist,3 years,RENT,60000,Source Verified,01-10-2018,Current,Debt consolidation,NV,21.82,6132.79,0,01-02-2019,,Individual,,0,36799,33757,0,Cash
12000,36 months,6.11,Executive,< 1 year,RENT,210000,Not Verified,01-10-2018,Current,Credit card refinancing,NY,9.98,1458.61,0,01-02-2019,70,Individual,,0,281821,265207,2,Cash
35000,60 months,6.67,Accounting Specialist,2 years,MORTGAGE,150000,Source Verified,01-10-2018,Current,Debt consolidation,TX,19.95,2737.47,0,01-02-2019,,Individual,,0,272594,37673,2,DirectPay
20000,60 months,11.06,,< 1 year,MORTGAGE,265000,Not Verified,01-10-2018,Current,Debt consolidation,FL,6.2,1729.51,0,01-02-2019,,Individual,,0,66639,44265,2,Cash
8000,36 months,7.21,Machine Operator,4 years,MORTGAGE,40000,Source Verified,01-10-2018,Current,Credit card refinancing,OH,29.19,987.96,0,01-02-2019,57,Individual,,0,94852,21245,1,DirectPay
21600,36 months,10.08,Sr. International Accountant,< 1 year,MORTGAGE,108620,Not Verified,01-10-2018,Current,Debt consolidation,MD,21.92,2779.06,0,01-02-2019,19,Individual,,0,518346,103285,3,Cash
25000,60 months,11.55,Coordinator,10+ years,MORTGAGE,75000,Not Verified,01-10-2018,Current,Credit card refinancing,WI,24.64,2193.79,0,01-02-2019,,Individual,,0,177503,9814,3,DirectPay
20000,60 months,19.92,,< 1 year,RENT,49000,Not Verified,01-10-2018,Current,Credit card refinancing,MA,12.66,2071.69,0,01-02-2019,,Individual,,0,17893,5736,0,Cash
25000,60 months,22.35,Assistant Manager,10+ years,RENT,65000,Source Verified,01-10-2018,Current,Debt consolidation,CA,26.66,2611.12,0,01-02-2019,,Individual,,0,55067,46469,0,Cash
18000,36 months,11.55,,< 1 year,MORTGAGE,40000,Source Verified,01-10-2018,Current,Home improvement,MO,36.75,2352.9,0,01-02-2019,,Joint App,80000,0,55108,53677,0,Cash
27650,60 months,22.35,Data Scientist,7 years,MORTGAGE,288000,Source Verified,01-10-2018,Current,Debt consolidation,IN,8.86,3042.39,0,01-02-2019,59,Individual,,0,437801,69509,4,Cash
15000,36 months,8.46,Software engineer,6 years,MORTGAGE,120000,Verified,01-10-2018,Current,Credit card refinancing,WA,16.43,1878.86,0,01-02-2019,,Individual,,0,243045,57873,3,Cash
10000,36 months,6.11,Personal Assistant,3 years,MORTGAGE,52000,Not Verified,01-10-2018,Current,Credit card refinancing,FL,17.93,1212.09,0,01-02-2019,46,Individual,,0,23623,3028,0,DirectPay
2000,36 months,22.35,,n/a,MORTGAGE,35232,Verified,01-10-2018,Current,Home improvement,OH,21.7,302.03,0,01-02-2019,,Individual,,0,116933,19812,3,Cash
12000,36 months,11.06,Supervisor,10+ years,OWN,50000,Not Verified,01-10-2018,Current,Debt consolidation,WA,15.96,1185.96,0,01-02-2019,,Individual,,0,15877,1262,0,Cash
3250,36 months,6.67,,n/a,RENT,9240,Verified,01-10-2018,Current,Debt consolidation,IL,3.51,388.5,0,01-02-2019,,Individual,,0,1050,0,0,Cash
21000,36 months,16.14,MS Officer,10+ years,MORTGAGE,83000,Source Verified,01-10-2018,Current,Credit card refinancing,NJ,20.3,2921.34,0,01-02-2019,,Individual,,0,350372,38815,2,DirectPay
3000,36 months,7.84,Accounting Manager,8 years,RENT,60000,Source Verified,01-10-2018,Current,Debt consolidation,FL,7.76,372.55,0,01-02-2019,,Individual,,0,11011,10855,1,Cash
40000,60 months,16.91,Registered Nurse,5 years,MORTGAGE,117820,Source Verified,01-10-2018,Current,Credit card refinancing,CA,15.14,3893.52,0,01-02-2019,59,Individual,,0,462715,47683,2,Cash
12000,36 months,12.73,,n/a,RENT,46788,Verified,01-10-2018,Current,Debt consolidation,NC,28.7,1242.26,0,01-02-2019,,Individual,,0,32832,31506,1,Cash
8000,36 months,12.73,QA Analyst,10+ years,RENT,105000,Not Verified,01-10-2018,Current,Debt consolidation,NY,18.88,1062.76,0,01-02-2019,,Individual,,0,68050,23605,0,Cash
20000,36 months,19.92,Su shi chef,3 years,RENT,50000,Source Verified,01-10-2018,Current,Car financing,MI,16.66,2925.57,0,01-02-2019,,Individual,,0,28768,23157,0,Cash
15000,36 months,16.91,Csr,5 years,RENT,50000,Source Verified,01-10-2018,Current,Debt consolidation,NJ,13.37,2115.3,0,01-02-2019,,Individual,,0,18586,4112,0,DirectPay
24000,36 months,7.21,senior clinical admissions,10+ years,OWN,56000,Verified,01-10-2018,Current,Credit card refinancing,NJ,23.19,2963.83,0,01-02-2019,,Individual,,0,242167,7700,1,DirectPay
25000,36 months,19.92,,< 1 year,OWN,35000,Not Verified,01-10-2018,Current,Debt consolidation,KY,15.95,3684.65,0,01-02-2019,,Joint App,81700,0,16383,6531,0,Cash
10000,60 months,16.91,Store Manager,10+ years,MORTGAGE,82000,Verified,01-10-2018,Current,Debt consolidation,IL,21.92,973.41,0,01-02-2019,45,Joint App,100948,0,167215,83123,2,Cash
13000,36 months,14.47,Civilian Confinement Officer,10+ years,MORTGAGE,55000,Not Verified,01-10-2018,Current,Debt consolidation,IN,39.69,1778.71,0,01-02-2019,8,Individual,,0,137527,50680,2,DirectPay
16500,36 months,11.06,,n/a,MORTGAGE,55298,Not Verified,01-10-2018,Current,Debt consolidation,NJ,15.54,1657.47,0,01-02-2019,60,Joint App,123282,0,245185,17656,3,Cash
10000,36 months,16.14,Cook Prep,4 years,MORTGAGE,28800,Verified,01-10-2018,Current,Debt consolidation,NC,17.79,1400.11,0,01-02-2019,,Individual,,0,160224,34079,1,Cash
14400,60 months,18.94,Director of Radiology,3 years,RENT,150000,Not Verified,01-10-2018,Current,Debt consolidation,SC,7.22,1408.95,0,01-02-2019,18,Joint App,300000,0,114837,99569,3,Cash
25000,36 months,8.46,sonographer,10+ years,MORTGAGE,120000,Source Verified,01-10-2018,Current,Debt consolidation,NV,20.17,3143.17,0,01-02-2019,55,Individual,,0,280031,15296,6,DirectPay
40000,60 months,10.47,Laboratory Supervisor,10+ years,MORTGAGE,140000,Source Verified,01-10-2018,Current,Debt consolidation,NC,20.69,2554.24,0,01-01-2019,,Individual,,0,253315,166304,2,Cash
20000,60 months,11.55,PROFESSIONAL ASSOCIATE,10+ years,MORTGAGE,155000,Not Verified,01-10-2018,Current,Credit card refinancing,NJ,10.83,1748.61,0,01-02-2019,,Individual,,0,368927,9945,1,Cash
14000,60 months,11.55,,n/a,MORTGAGE,40263,Verified,01-10-2018,Current,Credit card refinancing,NY,18.81,960.14,0,01-02-2019,,Individual,,0,14455,2714,2,Cash
8000,36 months,10.08,Administrative Coordinator,10+ years,RENT,67000,Verified,01-10-2018,Current,Credit card refinancing,TX,13.2,1029.28,0,01-02-2019,,Individual,,0,27914,14440,0,DirectPay
20000,60 months,22.35,Teacher,7 years,RENT,44000,Not Verified,01-10-2018,Current,Debt consolidation,TN,25.91,2250.32,0,01-02-2019,,Individual,,0,67768,46802,0,Cash
12000,36 months,7.21,Design Consultant,< 1 year,MORTGAGE,55000,Source Verified,01-10-2018,Current,Debt consolidation,AZ,19.51,1481.91,0,01-02-2019,,Individual,,0,226461,24196,3,DirectPay
13000,36 months,6.11,Teachers,10+ years,RENT,55000,Source Verified,01-10-2018,Current,Credit card refinancing,VA,18.87,1562.5,0,01-02-2019,41,Individual,,0,21302,13458,0,DirectPay
33000,60 months,17.97,V.P./GM Manufacturing Operations,7 years,MORTGAGE,103000,Source Verified,01-10-2018,Current,Credit card refinancing,TX,31.8,3316.86,0,01-02-2019,,Individual,,0,130056,93886,3,Cash
12000,36 months,11.06,Systems Analyst,3 years,RENT,72500,Not Verified,01-10-2018,Current,Credit card refinancing,TX,16.59,1510.17,0,01-02-2019,,Individual,,0,112095,100682,0,DirectPay
11000,60 months,11.06,Security safety officer,9 years,RENT,45000,Not Verified,01-10-2018,Current,Debt consolidation,FL,18.24,974.9,0,01-02-2019,,Individual,,0,22972,10662,0,DirectPay
10000,36 months,8.46,Business Center Liaison,10+ years,RENT,80000,Not Verified,01-10-2018,Current,Credit card refinancing,NY,10.23,1257.3,0,01-02-2019,,Individual,,0,30844,13529,0,DirectPay
24000,36 months,13.56,HR Office Assistant,< 1 year,RENT,23400,Not Verified,01-10-2018,Late (31-120 days),Debt consolidation,TX,28.67,797.07,0,01-11-2018,,Joint App,78400,0,23467,15053,0,Cash
22575,36 months,26.31,Education Administrator,10+ years,MORTGAGE,95000,Not Verified,01-10-2018,Fully Paid,Credit card refinancing,AL,36.72,22921.4669376498,0,01-11-2018,,Individual,,0,217733,91651,3,Cash
10000,60 months,16.14,Inventory Control Manager,10+ years,RENT,45000,Source Verified,01-10-2018,Current,Debt consolidation,CA,22.13,966.75,0,01-02-2019,,Individual,,0,19158,5520,0,Cash
27000,60 months,11.55,Director of Logistics,10+ years,MORTGAGE,155000,Source Verified,01-10-2018,Current,Credit card refinancing,MO,22.48,2360.6,0,01-02-2019,,Individual,,0,336129,34948,6,Cash
5800,36 months,7.84,Engine Assembly Tech,3 years,MORTGAGE,40000,Not Verified,01-10-2018,Current,Credit card refinancing,OH,19.29,722.79,0,01-02-2019,,Individual,,0,158901,34381,1,Cash
20575,60 months,12.73,Distribution process worker,2 years,RENT,50000,Not Verified,01-10-2018,Current,Debt consolidation,OK,38.93,1846.69,0,01-02-2019,,Individual,,0,34719,14933,0,Cash
7000,36 months,8.46,,n/a,MORTGAGE,70000,Not Verified,01-10-2018,Current,Debt consolidation,OR,12.52,880.11,0,01-02-2019,,Individual,,0,183430,16512,4,Cash
36225,36 months,11.06,Security Specialist,3 years,RENT,93217,Not Verified,01-10-2018,Current,Credit card refinancing,VA,24.83,3549.31,0,01-02-2019,42,Individual,,0,287645,255853,3,Cash
10000,36 months,6.11,Web administrator,4 years,MORTGAGE,90000,Source Verified,01-10-2018,Current,Credit card refinancing,FL,11.72,1217.19,0,01-02-2019,,Individual,,0,236028,42816,2,DirectPay
35000,60 months,10.08,Certified pharmacy tech,3 years,RENT,70000,Not Verified,01-10-2018,Current,Debt consolidation,WI,14.49,2960.52,0,01-02-2019,,Individual,,0,25173,1728,0,Cash
20000,60 months,19.92,Custodian,10+ years,RENT,40000,Source Verified,01-10-2018,Current,Debt consolidation,CA,25.56,2093.83,0,01-02-2019,103,Individual,,0,22204,20795,0,Cash
13000,36 months,6.11,Orchestra Manager,10+ years,MORTGAGE,60000,Not Verified,01-10-2018,Current,Credit card refinancing,IN,3.26,1580.15,0,01-02-2019,,Individual,,0,100643,0,4,Cash
21000,36 months,10.08,,n/a,MORTGAGE,70000,Verified,01-10-2018,Current,Home buying,MA,2.04,2701.84,0,01-02-2019,12,Individual,,0,278102,0,3,Cash
18000,36 months,10.47,Sr Account Executive,3 years,RENT,125000,Not Verified,01-10-2018,Current,Debt consolidation,AZ,15.3,2328.69,0,01-02-2019,,Individual,,0,44194,31885,0,DirectPay
15000,36 months,10.47,Coordinator,1 year,MORTGAGE,37500,Source Verified,01-10-2018,Current,Credit card refinancing,MD,16.8,1940.6,0,01-02-2019,65,Individual,,0,156592,11890,1,DirectPay
25000,60 months,13.56,Engineer,10+ years,MORTGAGE,133000,Source Verified,01-10-2018,Current,Debt consolidation,NY,14.64,2181.66,0,01-02-2019,,Individual,,0,273507,44149,3,Cash
6000,36 months,16.14,Surveillance Agent,4 years,RENT,37000,Not Verified,01-10-2018,Current,Debt consolidation,CA,12.1,1239.85,0,01-02-2019,78,Individual,,0,12121,6577,0,Cash
11000,36 months,15.02,Bullet Assembly,6 years,MORTGAGE,42000,Source Verified,01-10-2018,Current,Debt consolidation,MS,29.54,1507.36,0,01-02-2019,,Individual,,0,40131,5687,2,Cash
9000,36 months,6.11,Enforcement,10+ years,OWN,55000,Not Verified,01-10-2018,Current,Credit card refinancing,NY,28.61,1107.7,0,01-02-2019,,Individual,,0,29334,10186,0,DirectPay
40000,60 months,7.84,,< 1 year,MORTGAGE,105000,Not Verified,01-10-2018,Current,Debt consolidation,IN,19.41,3197.16,0,01-02-2019,,Individual,,0,120529,18033,2,DirectPay
12000,36 months,14.47,,< 1 year,MORTGAGE,100000,Not Verified,01-10-2018,Current,Credit card refinancing,TX,34.77,1632.23,0,01-02-2019,,Individual,,0,185929,62847,3,Cash
